Profile,Alpha,Time (s),Dist (km),CO2 (g),Idle CO2 (g),Stops,g CO2/km
Profile 88,0.88,3059.3,0.665,28326.6,28120.1,14,42596.4
Profile 89,0.89,3051.8,0.665,28327.1,28120.1,14,42597.1
Profile 90,0.9,3044.5,0.665,28327.6,28120.1,14,42597.9
Profile 91,0.91,3037.1,0.665,28328.1,28120.1,14,42598.6
Profile 92,0.92,3029.8,0.665,28328.6,28120.1,14,42599.4
Profile 93,0.93,3022.6,0.665,28329.1,28120.1,14,42600.2
Profile 94,0.94,3015.3,0.665,28329.6,28120.1,14,42600.9
Profile 95,0.95,3008.2,0.665,28330.1,28120.1,14,42601.7
Profile 96,0.96,3001.0,0.665,28330.6,28120.1,14,42602.4
Profile 97,0.97,2993.9,0.665,28330.8,28120.1,14,42602.7
Profile 98,0.98,2986.8,0.665,28331.3,28120.1,14,42603.5
Profile 99,0.99,2979.8,0.665,28331.8,28120.1,14,42604.2
Profile 100,1.0,2972.8,0.665,28332.3,28120.1,14,42605.0
