emission_group,wltp_class,total_fuel_l,total_dist_m,avg_speed_ms,sample_count,fuel_per_km,co2_per_km
high,Extra-High,0.665252287611746,4380.28084,34.04328125,128,0.1518743459407379,0.36449843025777096
high,High,0.090990537164749,928.98383,15.4135,60,0.09794630888758205,0.2350711413301969
high,Low,0.05509725210727521,528.31675,3.06,137,0.10428829316366595,0.25029190359279824
high,Medium,0.1074677933588716,1359.42963,10.8756,125,0.07905359055537992,0.1897286173329118
low,Extra-High,1.6302064513409467,28276.62675,22.376401480111006,1081,0.0576520836715768,0.13836500081178432
low,High,0.5450244415358344,12365.30272,16.33549401197605,668,0.04407691860663436,0.10578460465592246
low,Low,0.450675604040625,9828.51515,5.186674598453301,1681,0.04585388506427902,0.11004932415426964
low,Medium,0.822550407748619,15768.30544,11.16935064935065,1232,0.0521647941738893,0.1251955060173343
