wltp_class,total_fuel_l,total_dist_m,avg_speed_ms,sample_count,fuel_per_km,co2_per_km,emission_group
Low,1.7043561448285518,3642.84971,0.33891041162227603,413,0.46786342575427076,1.1228722218102498,high
Medium,0.1307963550865128,2715.18829,9.23,6,0.048172112250275206,0.11561306940066049,high
Extra-High,0.1325376252053869,1173.42924,19.888644067796612,59,0.112948971005177,0.2710775304124248,low
High,1.7240932754421305,16361.68195,16.60357512953368,965,0.10537384119253893,0.25289721886209343,low
Low,7.934053985416916,97079.42335,4.2256223893066,5985,0.0817274527560007,0.19614588661440166,low
Medium,3.6238860932896504,42194.16845,10.464570524412297,2212,0.08588594648058885,0.20612627155341323,low
