Time[ms],Latitude,Longitude,Speed[m/s],Distance,Altitude[m],Accuracy[m],Flag,Acceleration[m/s^2],AccWork[J],AeroWork[J],GradeWork[J],RollWork[J],StandStillWork[J],TotalWork[J],StandStillTime[s],Fuel[l],CO2[kg],AccECE[%],AeroECE[%],STSECE[%],WorkECE[%]
1763642795663,12.5340183,-70.0521167,7.42,7.42,8.540553276639152,2.6,0,0.03000000000000025,1399,1082,-16.79626516297111,3668,0,6132.203734837029,0,0.0003122048985233905,0.0008317138496663123,193.84665177457507,33.66849194258538,0,113.23268593160047
1763642796663,12.5339983,-70.0521783,7.34,7.34,8.540328189095725,2.5,0,-0.08000000000000007,-3720,1047,-13.911085446424678,3629,0,942.0889145535753,0,0.000047963959888887615,0.0001277759891439966,179.46995439405157,35.55029686446709,0,108.3363485223704
1763642797663,12.5339767,-70.0522417,7.24,7.24,8.540092491951249,2.4,0,-0.09999999999999964,-4593,1005,-14.566790620017244,3579,0,0,0,0,0,167.2358359999467,37.04273459762405,0,103.52142791371377
1763642798663,12.533955,-70.052305,7.18,7.18,8.539856778430838,2.3,0,-0.0600000000000005,-2726,980,-14.567802701945014,3549,0,1788.432197298055,0,0.0000910532847272144,0.00024256595051329918,156.64607126731937,38.27453810699863,0,99.90366944421784
1763642799663,12.5339333,-70.0523667,6.59,6.59,8.53962492078211,2.1,0,-0.5899999999999999,-25592,758,-14.329498264358266,3258,0,0,0,0,0,148.04202094770577,38.78633300855852,0,96.15007356009883
1763642800663,12.5339117,-70.0524217,5.92,5.92,8.539409077792094,1.9,0,-0.6699999999999999,-26403,549,-13.33974431197818,2926,0,0,0,0,0,141.08076605974148,38.768492089751945,0,92.98198166273082
1763642801663,12.533895,-70.05247,5.37,5.37,8.539228983590043,1.8,0,-0.5499999999999998,-19560,410,-11.1303619693515,2655,0,0,0,0,0,135.30934319507892,38.47532075037399,0,90.25963007653323
1763642802663,12.53388,-70.05252,4.73,4.73,8.539052070393701,1.8,0,-0.6399999999999997,-20362,280,-10.933766273486825,2338,0,0,0,0,0,130.60329808626693,37.98989301066853,0,87.95967428491046
1763642803663,12.533875,-70.0525617,4.24,4.24,8.538935505004169,1.8,0,-0.4900000000000002,-13846,201,-7.204090769292691,2096,0,0,0,0,0,126.6545995237096,37.43695424458407,0,85.97070230756177
1763642804663,12.53388,-70.052595,3.32,3.32,8.538879457765567,1.8,0,-0.9200000000000004,-21909,96,-3.463887487276694,1641,0,0,0,0,0,123.72551875140407,36.85052010262213,0,84.42509381195862
1763642806663,12.5339283,-70.05253,2.93,5.86,8.539227914419548,4,0,-0.19499999999999984,-7679,133,21.535666585993216,2897,0,0,0,0,0,118.87315120099866,35.774260511542074,0,81.77681904786994
1763642807663,12.5339533,-70.0525833,3.17,3.17,8.539208109463367,4.2,0,0.23999999999999977,4611,84,-1.2240057068976995,1567,0,6260.7759942931025,0,0.00031875081430703713,0.000849152169313947,119.26974709603004,35.259837108532615,0,82.54133711863034
1763642809163,12.5339833,-70.0526283,2.91,4.365,8.539228013785596,4.4,0,-0.1733333333333332,-4980,97,1.230146826752005,2158,0,0,0,0,0,115.95275338214881,34.53731801384128,0,80.68481757662596
1763642810663,12.5340183,-70.0526517,3.19,4.785,8.539318247394071,3.8,0,0.18666666666666654,5380,128,5.576707704576236,2365,0,7878.576707704577,0,0.0004011168493251352,0.0010685752866021602,115.67700138368455,33.84546245068509,0,81.30635235718543
1763642811663,12.5340467,-70.0526617,3.82,3.82,8.53941217373653,3.2,0,0.6299999999999999,13911,147,5.80492974295754,1888,0,15951.804929742957,0,0.0008121438645396991,0.002163551255133759,120.97667656374065,33.43351259794491,0,84.87472984353049
1763642812663,12.5340867,-70.0526717,4.26,4.26,8.539553898648315,2.6,0,0.43999999999999995,11198,204,8.759024723047773,2106,0,13516.759024723047,0,0.0006881699568631397,0.0018332847650834043,124.19595353579096,33.093707660699955,0,87.40440085179654
1763642813663,12.5341333,-70.0526817,4.55,4.55,8.53972285298142,2.3,0,0.29000000000000004,8047,249,10.441884648911525,2249,0,10555.441884648912,0,0.0005374023442412487,0.0014316398450586864,125.33227890086427,32.82216875316097,0,88.83502289241001
1763642814663,12.5341767,-70.052695,4.7,4.7,8.539871054949309,2.2,0,0.15000000000000036,4370,275,9.159326221437354,2323,0,6977.159326221437,0,0.00035522357273447356,0.0009463155977646376,124.35739276351754,32.596076853097465,0,89.09289188803501
1763642815663,12.534225,-70.05271,5.15,5.15,8.540035572515158,2.2,0,0.4500000000000002,13962,361,10.167679122200639,2546,0,16879.167679122198,0,0.0008593580807633897,0.0022893299271536703,128.0686957516268,32.49738112641826,0,92.06954224394433
1763642816663,12.5342783,-70.0527333,6.06,6.06,8.540201599982872,2.2,0,0.9099999999999993,32133,589,10.260995587100384,2996,0,35728.2609955871,0,0.0018190097036691049,0.004845841850574495,140.00542990524224,32.744126341610304,0,99.95266309740728
1763642817663,12.5343367,-70.0527567,6.32,6.32,8.540388475392298,2.1,0,0.2600000000000007,10139,668,11.549460928759984,3124,0,13942.54946092876,0,0.0007098479482796085,0.001891034934216877,140.39568986400258,33.09864954297525,0,101.32765707204076
1763642818663,12.5344,-70.052785,6.85,6.85,8.540584306570913,2.1,0,0.5299999999999994,21987,851,12.102954331969755,3386,0,26236.10295433197,0,0.0013357416378671782,0.003558415723278163,145.9178305070401,33.71558088075429,0,105.76007495001296
1763642819663,12.53446,-70.0528067,7.05,7.05,8.54078181964234,2.1,0,0.20000000000000018,8757,928,12.206900353410576,3485,0,13182.20690035341,0,0.000671137122248361,0.0017879092936696338,144.9760374938046,34.410632632360375,0,106.46514333434429
1763642820663,12.5345267,-70.052835,7.69,7.69,8.54099180268404,2.1,0,0.6400000000000006,29715,1204,12.977581926154317,3802,0,34733.977581926156,0,0.0017683883992101535,0.00471098669549585,152.78238817855933,35.48193028045844,0,112.4114609341798
1763642821663,12.5345917,-70.0528717,7.9,7.9,8.541175402585047,2.1,0,0.20999999999999996,10312,1305,11.347024681930336,3905,0,15533.34702468193,0,0.0007908391895101178,0.0021067956008549537,151.76967655010057,36.631960355457124,0,113.19086767495475
1763642822663,12.5346633,-70.0529017,8.33,8.33,8.54140181678742,2.1,0,0.4299999999999997,21983,1531,13.993076949280052,4118,0,27645.99307694928,0,0.0014075224562637096,0.0037496398234865224,155.2701725152988,38.032403829586855,0,116.69999801681048
