Time[ms],Latitude,Longitude,Speed[m/s],Distance,Altitude[m],Accuracy[m],Flag,Acceleration[m/s^2],AccWork[J],AeroWork[J],GradeWork[J],RollWork[J],StandStillWork[J],TotalWork[J],StandStillTime[s],Fuel[l],CO2[kg],AccECE[%],AeroECE[%],STSECE[%],WorkECE[%]
1759840791982,12.5344594,-70.0513172,2.17,2.17,7.044243975709968,1.6,0,0.43999999999999995,5405,27,-6.146681206530872,1072,0,6497.853318793469,0,0.00033082097786297794,0.0008813070850269733,149.23353071425586,1.9698073093006518,300,153.4052451270149
1759840792982,12.5344441,-70.051337,2.55,2.55,7.044133905562198,1.6,0,0.3799999999999999,5649,43,-6.802665342607526,1260,0,6945.197334657392,0,0.0003535963126556589,0.0009419805769146755,161.51663492967444,3.0100098284544434,300,153.9781841181015
1759840793982,12.5344249,-70.0513606,3.26,3.26,7.04399873987024,1.6,0,0.71,12994,91,-8.35364526008955,1611,0,14687.64635473991,0,0.0007477825815992541,0.001992092797380413,205.90334193704004,4.780777153010519,300,159.55161471258967
1759840794982,12.5344018,-70.0513913,3.8,3.8,7.04383078588895,1.6,0,0.54,12009,145,-10.380059905651663,1878,0,14021.619940094348,0,0.0007138736121341615,0.0019017593027254062,223.99728140961125,6.9110449615282485,300,163.31543314782292
1759840795982,12.5343775,-70.051424,2.89,2.89,7.043653237674469,1.6,0,-0.9099999999999997,-19177,63,-10.973012299556501,1428,0,0,0,0,0,195.34089164355052,7.1978577738972165,300,157.87295996688363
1759840796982,12.5343512,-70.0514597,2.84,2.84,7.043460446413384,1.6,0,-0.050000000000000266,-903,60,-11.915078308854177,1404,0,549.0849216911458,0,0.000027955203328198607,0.0000744726616663211,173.52552160964655,7.381137077207504,300,153.25477424085148
1759840797982,12.5343198,-70.0515036,3.16,3.16,7.043227413322818,1.6,0,0.3200000000000003,6048,83,-14.402144096277496,1562,0,7678.597855903722,0,0.0003909354561697479,0.0010414520552362084,174.4078137405508,7.774831762970952,300,153.4100687040307
1759840798982,12.5342853,-70.0515541,3.65,3.65,7.042966250330188,1.7,0,0.48999999999999977,10511,128,-16.140656433464798,1804,0,12426.859343566535,0,0.0006326806035947445,0.0016854611279763995,185.5817821282717,8.54752454091471,300,156.0647025803348
1759840799982,12.5342433,-70.0516183,4.52,4.52,7.042642210826692,1.8,0,0.8699999999999997,22389,244,-20.026613434592022,2234,0,24846.97338656541,0,0.0012650177880908584,0.003370007387474047,220.52526839106852,10.249513886004175,300,165.2973487616847
1759840800982,12.5342117,-70.05168,7.36,7.36,7.042367402315641,1.8,0,2.8400000000000007,106278,1056,-16.98399040849148,3638,0,110955.0160095915,0,0.0056489805316059525,0.015048884136198258,300,18.442621209002162,300,221.36975924855085
1759840801982,12.5341783,-70.0517483,7.65,7.65,7.042069990360339,1.8,0,0.29000000000000004,13711,1185,-18.380951073507305,3782,0,18659.61904892649,0,0.0009500050428135432,0.002530813434055279,300,25.194382784997053,300,218.5680045296021
1759840802982,12.53415,-70.0518133,7.49,7.49,7.041801618403007,1.8,0,-0.16000000000000014,-7631,1112,-16.586192079029587,3703,0,0,0,0,0,300,29.780514281276993,300,206.42339970099965
1759840803983,12.5341217,-70.0518883,7.65,7.657649999999999,7.041510236680516,1.8,0,0.15984015984016,7630,1187,-18.00826459509699,3786,0,12584.991735404903,0,0.0006407314951635762,0.0017069087031157673,300,33.71171991532563,300,201.66488454146796
1759840804982,12.534095,-70.0519617,7.52,7.512479999999999,7.041229432487093,1.8,0,-0.13013013013013092,-6213,1125,-17.354541566123103,3714,0,0,0,0,0,271.5228411328802,36.56420748056535,300,191.56398093725724
1759840805982,12.53407,-70.0520333,7.97,7.97,7.040960059172384,1.9,0,0.4500000000000002,21957,1340,-16.64807896891905,3940,0,27220.35192103108,0,0.0013858520650573821,0.003691909901312866,270.53103171105374,39.76066609682967,300,194.2618989128008
1759840806982,12.534045,-70.052105,7.83,7.83,7.040690668950454,1.9,0,-0.13999999999999968,-6968,1271,-16.64912388597817,3871,0,0,0,0,0,247.0548995490174,42.140725477722405,300,185.11195245745483
1759840807982,12.534015,-70.0521783,7.75,7.75,7.040397145626493,2,0,-0.08000000000000007,-3927,1232,-18.140621990771166,3831,0,1117.8593780092287,0,0.00005691284712086737,0.00015161582472999067,227.51346252204735,44.01383675493378,300,177.32744655863516
1759840808982,12.5339867,-70.0522533,7.42,7.42,7.040106957837828,2,0,-0.33000000000000007,-15770,1082,-17.9344759028196,3668,0,0,0,0,0,211.4969026807112,45.162863186701586,300,170.0464168648
1759840809982,12.533965,-70.0523217,7.21,7.21,7.039859470002831,2,0,-0.20999999999999996,-9678,992,-15.295490666330295,3564,0,0,0,0,0,197.95557529632026,45.91874739538528,300,163.5091045374479
1759840810982,12.53394,-70.052385,6.5,6.5,7.039610327345393,2,0,-0.71,-30663,727,-15.397763657642471,3213,0,0,0,0,0,187.15288690178303,45.93962128562506,300,157.98750253391282
1759840811982,12.5339133,-70.0524417,5.72,5.72,7.039369571910605,2,0,-0.7800000000000002,-30025,495,-14.879408136221173,2828,0,0,0,0,0,178.57712697335703,45.477553273557774,300,153.37717869990752
1759840812982,12.533895,-70.0524883,4.97,4.97,7.039186829835792,2,0,-0.75,-25256,325,-11.29400844965771,2457,0,0,0,0,0,171.7394813145219,44.77271301694231,300,149.53150241444328
1759840813982,12.5338767,-70.0525317,4.43,4.43,7.039011550903361,2,0,-0.54,-15990,230,-10.832763861058481,2190,0,0,0,0,0,166.07156568309108,44.00486466361828,300,146.22082252865718
1759840814982,12.5338633,-70.0525667,3.98,3.98,7.038875849697227,2,0,-0.44999999999999973,-11922,166,-8.38674164266105,1967,0,0,0,0,0,161.28925259162855,43.23756030115206,300,143.33174917993287
1759840815982,12.533865,-70.0525967,3.35,3.35,7.038813826340281,1.9,0,-0.6299999999999999,-14547,99,-3.8332295293573395,1656,0,0,0,0,0,157.47236980373103,42.505395043515634,300,140.92967346959605
1759840816982,12.5338767,-70.05262,3.13,3.13,7.038808368795465,1.9,0,-0.2200000000000002,-4491,81,-0.3372926422674283,1547,0,0,0,0,0,154.06586234873353,41.81815287828377,300,138.73454763479842
