emission_group,wltp_class,Fuel[l],Distance,CO2[kg],Time[ms],fuel_per_km,co2_per_km
high,Extra-High,0.665252287611746,4380.28084,1.6099105360204298,128,0.1518743459407379,0.36753591717658673
high,High,0.090990537164749,928.98383,0.2201970999386952,60,0.09794630888758203,0.23703006750795136
high,Low,0.05676328020433741,528.31675,0.1373671380945035,143,0.10744175762804682,0.2600090534598865
high,Medium,0.1074677933588716,1359.42963,0.260072059928476,125,0.0790535905553799,0.1913096891440243
low,Extra-High,1.6302064513409467,28276.62675,3.9450996122451616,1081,0.0576520836715768,0.13951804248521835
low,High,0.5450244415358344,12365.30272,1.3290635033554707,668,0.04407691860663436,0.10748329688733013
low,Low,0.4594239330309955,9828.51515,1.1442057568314323,1723,0.04674398177338064,0.11641695000403315
low,Medium,0.822550407748619,15768.30544,2.058583418701145,1232,0.0521647941738893,0.1305519750701344
